Model	BS	jsma_theta10_gamma30	jsma_theta10_gamma70	jsma_theta30_gamma50	jsma_theta50_gamma50	fgsm_eps5	fgsm_eps10	fgsm_eps50	fgsm_eps100	fgsm_eps250	fgsm_eps300	bim_ord2_nbIter100_eps100	bim_ord2_nbIter100_eps250	bim_ord2_nbIter100_eps500	bim_ord2_nbIter100_eps1000	bim_ordinf_nbIter100_eps5	bim_ordinf_nbIter100_eps10	bim_ordinf_nbIter100_eps50	bim_ordinf_nbIter100_eps100	bim_ordinf_nbIter100_eps250	bim_ordinf_nbIter100_eps500
clean	0.9901	0.9357	0.9133	0.0206	0.0009	0.9895	0.985	0.851	0.5084	0.1143	0.0888	0.9869	0.952	0.6876	0.0137	0.9885	0.9802	0.2928	0.008	0.0079	0.0079
affine_both_compress	0.9914	0.9901	0.9887	0.9233	0.8404	0.9913	0.9909	0.984	0.9588	0.4155	0.2862	0.9905	0.99	0.9874	0.9743	0.9912	0.9909	0.986	0.9582	0.4357	0.0815
affine_both_stretch	0.9896	0.9875	0.9864	0.9072	0.7715	0.9888	0.9884	0.9848	0.9623	0.448	0.3056	0.9887	0.9877	0.9845	0.9679	0.989	0.9885	0.9837	0.9539	0.5099	0.1085
affine_horizontal_compress	0.9902	0.984	0.9801	0.8884	0.8602	0.9896	0.9887	0.9699	0.7962	0.1968	0.1606	0.9886	0.9865	0.9814	0.9293	0.9892	0.9887	0.9746	0.8604	0.2254	0.0971
affine_horizontal_stretch	0.9905	0.9888	0.9875	0.965	0.8909	0.9902	0.9902	0.982	0.9463	0.5226	0.3687	0.9897	0.9886	0.983	0.9552	0.9901	0.99	0.9797	0.9303	0.3886	0.0838
affine_vertical_compress	0.99	0.9884	0.9875	0.9552	0.8886	0.9901	0.9898	0.9824	0.9357	0.3646	0.2562	0.99	0.9889	0.9855	0.9694	0.99	0.9897	0.9827	0.9421	0.3661	0.0921
affine_vertical_stretch	0.9885	0.9865	0.9863	0.9115	0.7315	0.9884	0.988	0.9813	0.9272	0.2437	0.1616	0.9882	0.987	0.9825	0.9568	0.9883	0.9881	0.9778	0.9249	0.3361	0.0811
both_flip	0.9921	0.9905	0.99	0.9447	0.8412	0.992	0.992	0.9837	0.9346	0.3203	0.2172	0.9923	0.9911	0.9869	0.9627	0.9921	0.9918	0.9836	0.9302	0.3613	0.0831
cartoon_gaussian_type1	0.9867	0.9635	0.9662	0.7651	0.8477	0.4028	0.3761	0.2642	0.241	0.2045	0.187	0.9407	0.6449	0.4451	0.3255	0.5134	0.4251	0.3255	0.2159	0.1778	0.1054
cartoon_gaussian_type2	0.9857	0.9616	0.9529	0.822	0.8226	0.362	0.3322	0.2115	0.1892	0.1483	0.138	0.8837	0.5755	0.3704	0.227	0.4207	0.3474	0.2299	0.1569	0.1186	0.1221
cartoon_gaussian_type3	0.9891	0.9711	0.9534	0.7975	0.8501	0.4081	0.3782	0.2604	0.2372	0.1865	0.1792	0.8995	0.6478	0.4424	0.3224	0.525	0.4149	0.2931	0.1915	0.1594	0.1011
cartoon_gaussian_type4	0.9875	0.9262	0.9596	0.8111	0.8391	0.4404	0.4062	0.2726	0.246	0.2009	0.1846	0.9233	0.6628	0.4479	0.3047	0.5163	0.4348	0.3055	0.1968	0.1464	0.1128
cartoon_mean_type1	0.9868	0.9733	0.9682	0.8056	0.8576	0.4459	0.4121	0.2786	0.255	0.1974	0.1723	0.9131	0.6776	0.4804	0.3494	0.584	0.4782	0.3128	0.204	0.1576	0.1116
cartoon_mean_type2	0.985	0.9588	0.9404	0.8128	0.8163	0.3319	0.3039	0.2031	0.1792	0.1462	0.1363	0.8739	0.5411	0.3452	0.2285	0.4	0.3445	0.2386	0.1632	0.1129	0.1182
cartoon_mean_type3	0.9868	0.9769	0.9778	0.794	0.8395	0.3992	0.371	0.2513	0.2325	0.179	0.1643	0.8991	0.64	0.4469	0.3218	0.5209	0.4191	0.2881	0.1848	0.1495	0.1014
cartoon_mean_type4	0.9878	0.9822	0.9835	0.8572	0.8568	0.3198	0.2893	0.1841	0.1724	0.1477	0.1313	0.931	0.6628	0.4212	0.2744	0.5088	0.3727	0.2604	0.161	0.1233	0.0975
closing	0.9919	0.9895	0.9892	0.9613	0.8177	0.9919	0.9914	0.9863	0.963	0.4354	0.3003	0.9918	0.991	0.9877	0.9808	0.9919	0.9917	0.9854	0.9669	0.6303	0.1382
compress_jpeg_quality_10	0.9908	0.987	0.9631	0.9458	0.9039	0.991	0.9907	0.9891	0.9796	0.6288	0.4218	0.9913	0.9909	0.9897	0.9865	0.9913	0.9906	0.9881	0.9832	0.7194	0.13
compress_jpeg_quality_30	0.9756	0.1453	0.1118	0.2015	0.3522	0.1178	0.1174	0.1159	0.1126	0.1027	0.1034	0.1757	0.1292	0.1083	0.0895	0.1299	0.1117	0.1016	0.0758	0.0635	0.0556
compress_jpeg_quality_50	0.9775	0.1922	0.1482	0.2914	0.4914	0.1671	0.167	0.1606	0.1535	0.1407	0.1405	0.1538	0.1449	0.136	0.1262	0.1682	0.1581	0.1464	0.1172	0.0975	0.0863
