SampleType	DetectionAcc	VotingAcc	Acc(Clean)
BS	0.9572	0.9925	0.9901
jsma_theta10_gamma30	0.5574	0.9564	0.9357
jsma_theta10_gamma70	0.6481	0.9355	0.9133
jsma_theta30_gamma50	0.81	0.7295	0.0206
jsma_theta50_gamma50	0.7585	0.7668	0.0009
fgsm_eps5	0.5799	0.9829	0.9895
fgsm_eps10	0.6199	0.9818	0.985
fgsm_eps50	0.7955	0.9298	0.851
fgsm_eps100	0.884	0.7783	0.5084
fgsm_eps250	0.9892	0.2598	0.1143
fgsm_eps300	0.9952	0.2039	0.0888
bim_ord2_nbIter100_eps100	0.2363	0.9879	0.9869
bim_ord2_nbIter100_eps250	0.4635	0.9736	0.952
bim_ord2_nbIter100_eps500	0.6873	0.9532	0.6876
bim_ord2_nbIter100_eps1000	0.8508	0.8741	0.0137
bim_ordinf_nbIter100_eps5	0.5008	0.9833	0.9885
bim_ordinf_nbIter100_eps10	0.6061	0.9807	0.9802
bim_ordinf_nbIter100_eps50	0.8056	0.9378	0.2928
bim_ordinf_nbIter100_eps100	0.9204	0.7709	0.008
bim_ordinf_nbIter100_eps250	0.9847	0.2477	0.0079
bim_ordinf_nbIter100_eps500	0.9635	0.0837	0.0079
