AEType	dissimilarity
fgsm_eps100	0.2788
fgsm_eps200	0.4231
fgsm_eps300	0.8364
bim_ord2_nbIter100_eps750	0.0837
bim_ord2_nbIter100_eps1000	0.1116
bim_ord2_nbIter100_eps1200	0.1339
bim_ordinf_nbIter100_eps75	0.1571
bim_ordinf_nbIter100_eps90	0.186
bim_ordinf_nbIter100_eps120	0.2416
deepfool_l2_overshoot3	0.1405
deepfool_l2_overshoot8	0.3011
deepfool_l2_overshoot20	0.5875
cw_l2_lr10_maxIter100	0.0802
cw_l2_lr12_maxIter100	0.103
cw_l2_lr15_maxIter100	0.1216
jsma_theta15_gamma50	0.2779
jsma_theta18_gamma50	0.2981
jsma_theta21_gamma50	0.3052
onepixel_pxCount5_maxIter30_popsize100	0.1823
onepixel_pxCount15_maxIter30_popsize100	0.266
onepixel_pxCount30_maxIter30_popsize100	0.3553
mim_eps50_nbIter1000	0.1124
mim_eps75_nbIter1000	0.1648
mim_eps100_nbIter1000	0.2142
pgd_eps75_nbIter1000_epsIter50	0.1612
pgd_eps90_nbIter1000_epsIter50	0.1911
pgd_eps100_nbIter1000_epsIter50	0.2108
