,fgsm(eps:0.2),biml2(eps:1.0),bimli(eps:0.075),dfl2(os:8/255),cwl2(lr:0.012),jsma(theta:0.18),onepixel(pxCnt:15),mim(eps:0.075),pgd(eps:0.09)
Top T,filter_entropy,rotate180,rotate180,denoise_tv_bregman,flip_both,noise_localvar,morph_opening,rotate180,rotate180
Medium T,noise_pepper,geo_swirl,shift_up,noise_salt,noise_speckle,shift_left,rotate180,noise_poisson,shift_up
Bottom T,morph_opening,filter_minimum,filter_minimum,quant_8_clusters,filter_minimum,morph_opening,filter_maximum,filter_minimum,filter_minimum
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,fgsm(eps:0.2),biml2(eps:1.0),bimli(eps:0.075),dfl2(os:8/255),cwl2(lr:0.012),jsma(theta:0.18),onepixel(pxCnt:15),mim(eps:0.075),pgd(eps:0.09)
Top T,55,2,2,65,14,41,23,2,2
Medium T,44,69,6,43,46,4,2,42,6
Bottom T,23,51,51,37,51,23,52,51,51
